date,open,high,low,close
2021-02-24,3873.71,3928.65,3859.6,3925.43
2021-02-25,3915.8,3924.26,3814.04,3829.34
2021-02-26,3839.66,3861.08,3791.16,3811.15
2021-03-01,3842.51,3914.5,3842.51,3901.82
2021-03-02,3903.64,3906.41,3868.57,3870.29
2021-03-03,3863.99,3874.12,3819.14,3819.72
2021-03-04,3818.53,3843.67,3723.34,3768.47
2021-03-05,3793.58,3851.69,3730.19,3841.94
2021-03-08,3844.39,3881.06,3819.25,3821.35
2021-03-09,3851.93,3903.76,3851.93,3875.44
2021-03-10,3900.99,3917.35,3885.73,3898.81
2021-03-11,3915.54,3960.27,3915.54,3939.34
2021-03-12,3924.52,3944.99,3915.21,3943.34
2021-03-15,3942.96,3969.88,3923.54,3968.94
2021-03-16,3973.59,3981.04,3953.44,3962.71
2021-03-17,3949.57,3983.87,3935.74,3974.12
2021-03-18,3953.5,3969.62,3910.86,3915.46
2021-03-19,3913.14,3930.12,3886.75,3913.1
2021-03-22,3916.48,3955.31,3914.16,3940.59
2021-03-23,3937.6,3949.13,3901.57,3910.52
2021-03-24,3919.93,3942.08,3889.07,3889.14
2021-03-25,3879.34,3919.54,3854.44,3909.52
2021-03-26,3917.12,3976.88,3917.12,3974.54
2021-03-29,3969.31,3981.83,3943.25,3971.09
2021-03-30,3963.34,3968.01,3944.35,3958.55
2021-03-31,3967.25,3994.41,3966.98,3972.89
2021-04-01,3992.78,4020.62,3992.78,4019.87
2021-04-05,4034.44,4083.42,4034.44,4077.91
2021-04-06,4075.57,4086.23,4068.14,4073.94
2021-04-07,4074.29,4083.13,4068.31,4079.95
2021-04-08,4089.95,4098.19,4082.54,4097.17
2021-04-09,4096.11,4129.48,4095.51,4128.8
2021-04-12,4124.71,4131.76,4114.82,4127.99
2021-04-13,4130.1,4148,4124.43,4141.59
2021-04-14,4141.58,4151.69,4120.87,4124.66
2021-04-15,4139.76,4173.49,4139.76,4170.42
2021-04-16,4174.14,4191.31,4170.75,4185.47
2021-04-19,4179.8,4180.81,4150.47,4163.26
2021-04-20,4159.18,4159.18,4118.38,4134.94
2021-04-21,4128.42,4175.02,4126.35,4173.42
2021-04-22,4170.46,4179.57,4123.69,4134.98
2021-04-23,4138.78,4194.17,4138.78,4180.17
2021-04-26,4185.03,4194.19,4182.36,4187.62
2021-04-27,4188.25,4193.35,4176.22,4186.72
2021-04-28,4185.14,4201.53,4181.78,4183.18
2021-04-29,4206.14,4218.64,4176.81,4211.47
2021-04-30,4198.1,4198.1,4174.85,4181.17
2021-05-03,4191.98,4209.39,4188.03,4192.66
2021-05-04,4179.04,4179.04,4128.59,4164.66
2021-05-05,4177.06,4187.72,4160.94,4167.59
2021-05-06,4169.14,4201.64,4147.33,4201.62
2021-05-07,4210.34,4238.04,4201.64,4232.6
2021-05-10,4228.29,4236.39,4188.13,4188.43
2021-05-11,4150.34,4162.04,4111.53,4152.1
2021-05-12,4130.55,4134.73,4056.88,4063.04
2021-05-13,4074.99,4131.58,4074.99,4112.5
2021-05-14,4129.58,4183.13,4129.58,4173.85
2021-05-17,4169.92,4171.92,4142.69,4163.29
2021-05-18,4165.94,4169,4125.99,4127.83
2021-05-19,4098.45,4116.93,4061.41,4115.68
2021-05-20,4121.97,4172.8,4121.97,4159.12
2021-05-21,4168.61,4188.72,4151.72,4155.86
2021-05-24,4170.16,4209.52,4170.16,4197.05
2021-05-25,4205.94,4213.31,4182.52,4188.13
2021-05-26,4191.59,4202.61,4184.11,4195.99
2021-05-27,4201.94,4213.38,4197.78,4200.88
2021-05-28,4210.77,4218.36,4203.57,4204.11
2021-06-01,4216.52,4234.12,4197.59,4202.04
2021-06-02,4206.82,4217.37,4198.27,4208.12
2021-06-03,4191.43,4204.39,4168.5,4192.85
2021-06-04,4206.05,4233.45,4206.05,4229.89
2021-06-07,4229.34,4232.34,4215.66,4226.52
2021-06-08,4233.81,4236.74,4208.41,4227.26
2021-06-09,4232.99,4236.21,4218.74,4219.55
2021-06-10,4228.56,4249.74,4220.34,4239.18
2021-06-11,4242.9,4248.38,4232.25,4247.44
2021-06-14,4248.31,4255.35,4234.07,4255.15
2021-06-15,4255.28,4257.16,4238.35,4246.59
2021-06-16,4248.87,4251.4,4203.02,4223.7
2021-06-17,4220.37,4232.29,4196.29,4221.86
2021-06-18,4204.78,4204.78,4164.4,4166.45
2021-06-21,4173.4,4226.24,4173.4,4224.79
2021-06-22,4224.61,4255.84,4217.27,4246.44
2021-06-23,4249.27,4256.6,4241.43,4241.84
2021-06-24,4256.97,4271.28,4256.97,4266.49
2021-06-25,4274.45,4286.12,4271.16,4280.7
2021-06-28,4284.9,4292.14,4274.67,4290.61
2021-06-29,4293.21,4300.52,4287.04,4291.8
2021-06-30,4290.65,4302.43,4287.96,4297.5
2021-07-01,4300.73,4320.66,4300.73,4319.94
2021-07-02,4326.6,4355.43,4326.6,4352.34
2021-07-06,4356.46,4356.46,4314.37,4343.54
2021-07-07,4351.01,4361.88,4329.79,4358.13
2021-07-08,4321.07,4330.88,4289.37,4320.82
2021-07-09,4329.38,4371.6,4329.38,4369.55
2021-07-12,4372.41,4386.68,4364.03,4384.63
2021-07-13,4381.07,4392.37,4366.92,4369.21
2021-07-14,4380.11,4393.68,4362.36,4374.3
2021-07-15,4369.02,4369.02,4340.7,4360.03
2021-07-16,4367.43,4375.09,4322.53,4327.16
2021-07-19,4296.4,4296.4,4233.13,4258.49
2021-07-20,4265.11,4336.84,4262.49,4323.06
2021-07-21,4331.13,4359.7,4331.13,4358.69
2021-07-22,4361.27,4369.87,4350.06,4367.48
2021-07-23,4381.2,4415.18,4381.2,4411.79
2021-07-26,4409.58,4422.73,4405.45,4422.3
2021-07-27,4416.38,4416.38,4372.51,4401.46
2021-07-28,4402.95,4415.47,4387.01,4400.64
2021-07-29,4403.59,4429.97,4403.59,4419.15
2021-07-30,4395.12,4412.25,4389.65,4395.26
2021-08-02,4406.86,4422.18,4384.81,4387.16
2021-08-03,4392.74,4423.79,4373,4423.15
2021-08-04,4415.95,4416.17,4400.23,4402.66
2021-08-05,4408.86,4429.76,4408.86,4429.1
2021-08-06,4429.07,4440.82,4429.07,4436.52
2021-08-09,4437.77,4439.39,4424.74,4432.35
2021-08-10,4435.79,4445.21,4430.03,4436.75
2021-08-11,4442.18,4449.44,4436.42,4447.7
2021-08-12,4446.08,4461.77,4435.96,4460.83
2021-08-13,4464.84,4468.37,4460.82,4468
2021-08-16,4461.65,4480.26,4437.66,4479.71
2021-08-17,4462.12,4462.12,4417.83,4448.08
2021-08-18,4440.94,4454.32,4397.59,4400.27
2021-08-19,4382.44,4418.61,4369.41,4405.8
2021-08-20,4410.56,4444.35,4406.8,4441.67
