symbol,n_days,coverage
PAYC,343,0.2722222222222222
WRB,340,0.2698412698412698
STE,339,0.26904761904761904
TT,332,0.2634920634920635
EQT,328,0.26031746031746034
ETSY,324,0.2571428571428571
COL,323,0.2563492063492063
CA,317,0.2515873015873016
GGP,310,0.24603174603174602
HWM,309,0.24523809523809523
LUMN,306,0.24285714285714285
CHK,303,0.24047619047619048
CARR,298,0.2365079365079365
DXCM,297,0.2357142857142857
BHF,295,0.23412698412698413
ANDV,294,0.23333333333333334
EVHC,292,0.23174603174603176
PCLN,289,0.22936507936507936
OTIS,287,0.22777777777777777
XL,282,0.22380952380952382
VTRS,278,0.22063492063492063
WST,273,0.21666666666666667
RRC,270,0.21428571428571427
DPS,263,0.20873015873015874
TSLA,260,0.20634920634920634
BIO,258,0.20476190476190476
TDY,258,0.20476190476190476
TYL,258,0.20476190476190476
WYN,248,0.19682539682539682
AYI,243,0.19285714285714287
NAVI,238,0.18888888888888888
LUK,234,0.18571428571428572
ENPH,233,0.18492063492063493
JEF,233,0.18492063492063493
WCG,228,0.18095238095238095
POOL,216,0.17142857142857143
CTLT,210,0.16666666666666666
TER,210,0.16666666666666666
COH,209,0.16587301587301587
SIG,205,0.1626984126984127
CSRA,202,0.16031746031746033
PDCO,200,0.15873015873015872
CZR,199,0.15793650793650793
NXPI,199,0.15793650793650793
PENN,199,0.15793650793650793
CBG,196,0.15555555555555556
HCN,194,0.15396825396825398
SNI,187,0.1484126984126984
DLPH,180,0.14285714285714285
SPLS,175,0.1388888888888889
BCR,166,0.13174603174603175
WFM,165,0.13095238095238096
MPWR,162,0.12857142857142856
TRMB,159,0.1261904761904762
GNRC,146,0.11587301587301588
TSO,145,0.11507936507936507
LVLT,130,0.10317460317460317
PTC,128,0.10158730158730159
BHI,126,0.1
BBBY,120,0.09523809523809523
MNK,120,0.09523809523809523
RIG,120,0.09523809523809523
CRL,115,0.09126984126984126
YHOO,115,0.09126984126984126
MRNA,114,0.09047619047619047
BBWI,105,0.08333333333333333
AN,103,0.08174603174603175
OGN,91,0.07222222222222222
MUR,81,0.06428571428571428
RAI,81,0.06428571428571428
R,76,0.06031746031746032
TDC,76,0.06031746031746032
MJN,75,0.05952380952380952
VNT,75,0.05952380952380952
MTCH,73,0.05793650793650794
TGNA,71,0.05634920634920635
CTRA,57,0.04523809523809524
TECH,56,0.044444444444444446
FSLR,52,0.04126984126984127
URBN,52,0.04126984126984127
BRO,49,0.03888888888888889
CDAY,49,0.03888888888888889
Q,44,0.03492063492063492
DNB,41,0.03253968253968254
ENDP,40,0.031746031746031744
SWN,40,0.031746031746031744
FTR,35,0.027777777777777776
LLTC,34,0.026984126984126985
HAR,33,0.02619047619047619
PBI,29,0.023015873015873017
SE,29,0.023015873015873017
EPAM,9,0.007142857142857143
FDS,6,0.004761904761904762
SBNY,6,0.004761904761904762
SEDG,6,0.004761904761904762
KD,4,0.0031746031746031746
VSCO,4,0.0031746031746031746
STJ,2,0.0015873015873015873
